tier,id,signal,category,engine,level,weight,advanced,detail
Participant,S-1042,Candidate Hy's-Law / DILI,Safety,On-device,red,10,FALSE,"ALT 3.4x ULN + total bili 2.1x ULN (DLT window, day 9)"
Participant,S-1042-ai,Free-energy surprise rising,Safety,On-device,amber,6,TRUE,"active-inference EFE recommends an unscheduled LFT since day 7"
Participant,S-1039,QTcF prolongation +48 ms,Safety,On-device,amber,7,FALSE,"watch >30 ms, alert >60 ms"
Participant,COH4-AE,Within-participant AE cluster,Safety,On-device,amber,6,FALSE,"cohort 4 trending Grade 2 to Grade 3"
Participant,PK-EXP,PK exposure vs predicted Cmax,PK,On-device,green,5,FALSE,"within 2-fold of the model"
Participant,DLT-TALLY,Cohort DLT tally,Safety,On-device,green,8,FALSE,"1 of 6 - within the 3+3 rule"
Participant,SAE-NEW,New unexpected SAE,Safety,On-device,green,9,FALSE,"none this reporting period"
Study,SF-RATE,Screen-failure rate,Enrollment,Cloud,amber,7,FALSE,"38% vs 25% plan - enrollment KRI breached"
Study,LFT-DRIFT,Cohort-4 LFT distribution drift,Safety,On-device,amber,6,TRUE,"Wasserstein tail mass moving up vs the pooled barycenter"
Study,ESC-33,Cohort-4 escalation (3+3),Dose-escalation,Cloud,green,8,FALSE,"1 of 6 DLT - within the escalation rule"
Study,QTL-SAE,Safety QTL (SAE rate),Safety,Cloud,green,8,FALSE,"within the quality tolerance limit"
Study,ENROLL,Enrollment rate vs plan,Enrollment,Cloud,amber,5,FALSE,"-22% vs plan"
Study,QRY-AGE,Open-query aging,Data,Cloud,amber,4,FALSE,"backlog rising ahead of database lock"
Study,PROTDEV,Protocol-deviation rate,Compliance,Cloud,green,5,FALSE,"within threshold"
Study,SITE-ACT,Site-activation lag,Operations,Cloud,green,3,FALSE,"on plan"
Client,AR-60,Accounts-receivable aging > 60 days,Finance,Cloud,red,9,FALSE,"payment-aging KRI breached"
Client,COMMS,Sponsor comms cadence,Relationship,Cloud,amber,5,TRUE,"-40% month-on-month - behavior drift, relationship watch"
Client,SCOPE-CO,Scope-reduction change-orders,Commercial,Cloud,amber,6,FALSE,"2 this quarter"
Client,RENEWAL,Contract-renewal signal,Commercial,Cloud,green,5,FALSE,"on track"
Client,FILINGS,Public-filings sentiment,Commercial,Cloud,green,4,FALSE,"stable"
Client,SATIS,Sponsor-satisfaction pulse,Relationship,Cloud,green,4,FALSE,"neutral"
